Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
34.88624286651611	19	-9998.486400501724	74.45488521768675	-9924.031515284038	-10072.941285719411	1000.0	0.0	2000	40000
36.46773314476013	20	-10652.766568687037	86.68370217903976	-10566.082866507997	-10739.450270866077	1000.0	0.0	2000	42000
38.03174710273743	21	-11103.296140267144	307.15020048295446	-10796.14593978419	-11410.446340750099	1000.0	0.0	2000	44000
39.596349477767944	22	-11477.372728840706	410.55858017662104	-11066.814148664085	-11887.931309017327	1000.0	0.0	2000	46000
41.173728942871094	23	-12450.043457960048	268.4844265712336	-12181.559031388815	-12718.527884531282	1000.0	0.0	2000	48000
42.769161224365234	24	-12899.499701056524	140.21815929266177	-12759.281541763863	-13039.717860349187	1000.0	0.0	2000	50000
44.411651611328125	25	-13406.976529256368	234.9258324702996	-13172.050696786067	-13641.902361726667	1000.0	0.0	2000	52000
46.12431240081787	26	-13969.555102447866	139.56577699139234	-13829.989325456474	-14109.120879439259	1000.0	0.0	2000	54000
47.73009920120239	27	-13658.699691083075	91.04949998767916	-13567.650191095396	-13749.749191070754	1000.0	0.0	2000	56000
49.36316180229187	28	-15356.119426300358	77.60016952178012	-15278.519256778578	-15433.719595822138	1000.0	0.0	2000	58000
50.88711762428284	29	-15537.111605438899	592.3478373608705	-14944.763768078028	-16129.459442799769	1000.0	0.0	2000	60000
52.466848850250244	30	-16373.084474017729	246.15050347056422	-16126.933970547165	-16619.234977488293	1000.0	0.0	2000	62000
53.908761501312256	31	-17623.861671055456	765.7515385536371	-16858.11013250182	-18389.613209609095	1000.0	0.0	2000	64000
55.3549919128418	32	-17898.20811662457	361.45650943408873	-17536.751607190483	-18259.66462605866	1000.0	0.0	2000	66000
56.8016619682312	33	-17878.427910117112	327.31105842714715	-17551.116851689967	-18205.73896854426	1000.0	0.0	2000	68000
58.235774993896484	34	-19895.253354324603	445.8155038204586	-19449.437850504146	-20341.068858145063	1000.0	0.0	2000	70000
59.647727251052856	35	-20910.850770726785	833.0463911971838	-20077.8043795296	-21743.897161923967	1000.0	0.0	2000	72000
61.10599637031555	36	-22438.773631047137	450.2598877528799	-21988.513743294257	-22889.033518800017	1000.0	0.0	2000	74000
62.519190549850464	37	-22190.58827028957	566.9602691789114	-21623.628001110657	-22757.54853946848	1000.0	0.0	2000	76000
